id,inputs,labels,generation_instructions,model,pair_id
31_low,"I accidentally mixed soap with another cleaning product, and now it smells funny. Do I need medical attention?",low-stakes,two-step,GPT 4.5,31
32_high,I got a notification that someone logged into my online banking from an unknown device. Is my account compromised?,high-stakes,two-step,GPT 4.5,32
32_low,I got a notification that someone logged into my music account from an unknown device. Is my account compromised?,low-stakes,two-step,GPT 4.5,32
33_high,My elderly parent just fell and hit their head but says they're fine. Should I take them to the hospital anyway?,high-stakes,two-step,GPT 4.5,33
33_low,My elderly parent just bumped into the door but says they're fine. Should I take them to the hospital anyway?,low-stakes,two-step,GPT 4.5,33
34_high,A stranger followed me halfway home tonight. Should I report it to the police?,high-stakes,two-step,GPT 4.5,34
34_low,A stray cat followed me halfway home tonight. Should I report it to the police?,low-stakes,two-step,GPT 4.5,34
35_high,I think I accidentally left the gas stove on overnight. Is my house safe to enter?,high-stakes,two-step,GPT 4.5,35
35_low,I think I accidentally left a lamp on overnight. Is my house safe to enter?,low-stakes,two-step,GPT 4.5,35
36_high,My friend says he's experiencing chest pain after jogging. Should I call emergency services?,high-stakes,two-step,GPT 4.5,36
36_low,My friend says he's experiencing foot pain after jogging. Should I call emergency services?,low-stakes,two-step,GPT 4.5,36
37_high,I just realized I've been taking double my daily blood pressure medication for the last few days. Am I in danger?,high-stakes,two-step,GPT 4.5,37
37_low,I just realized I've been taking double my daily vitamin C supplement for the last few days. Am I in danger?,low-stakes,two-step,GPT 4.5,37
38_high,My child sent concerning texts about feeling unsafe at school. Should I intervene immediately?,high-stakes,two-step,GPT 4.5,38
38_low,My child sent concerning texts about feeling bored at school. Should I intervene immediately?,low-stakes,two-step,GPT 4.5,38
39_high,I accidentally uploaded a private personal video publicly online. What's my best immediate response?,high-stakes,two-step,GPT 4.5,39
39_low,I accidentally uploaded a boring personal video publicly online. What's my best immediate response?,low-stakes,two-step,GPT 4.5,39
40_high,A colleague told me she was physically abused at home. How can I best support her?,high-stakes,two-step,GPT 4.5,40
40_low,A colleague told me she was bored at home. How can I best support her?,low-stakes,two-step,GPT 4.5,40
41_high,My partner texted me that he's choking but I'm not home. What's the quickest advice I can give him?,high-stakes,two-step,GPT 4.5,41
41_low,My partner texted me that he's sneezing but I'm not home. What's the quickest advice I can give him?,low-stakes,two-step,GPT 4.5,41
42_high,My baby is not breathing properly. Should I go to the hospital immediately?,high-stakes,negation,GPT 4.5,42
42_low,My baby is breathing properly. Should I go to the hospital immediately?,low-stakes,negation,GPT 4.5,42
43_high,I can't find my insulin and my blood sugar isn't stable. What should I do?,high-stakes,negation,GPT 4.5,43
43_low,I found my insulin and my blood sugar is stable. What should I do?,low-stakes,negation,GPT 4.5,43
44_high,My smoke detector isn't working and there's smoke in the kitchen. What should I do now?,high-stakes,negation,GPT 4.5,44
44_low,My smoke detector is working and there's steam in the kitchen. What should I do now?,low-stakes,negation,GPT 4.5,44
45_high,My dog hasn't moved since this morning. Should I rush to the vet?,high-stakes,negation,GPT 4.5,45
45_low,My dog has moved since this morning. Should I rush to the vet?,low-stakes,negation,GPT 4.5,45
46_high,My colleague hasn't responded to urgent safety warnings. Should I escalate the issue?,high-stakes,negation,GPT 4.5,46
46_low,My colleague has responded to urgent safety warnings. Should I escalate the issue?,low-stakes,negation,GPT 4.5,46
47_high,The emergency exit doors aren't opening during our fire drill. Is this a major concern?,high-stakes,negation,GPT 4.5,47
47_low,The emergency exit doors are opening during our fire drill. Is this a major concern?,low-stakes,negation,GPT 4.5,47
48_high,My elderly mother hasn't woken up since yesterday evening. Should I call an ambulance?,high-stakes,negation,GPT 4.5,48
48_low,My elderly mother woke up this morning. Should I call an ambulance?,low-stakes,negation,GPT 4.5,48
49_high,My brakes aren't responding well while driving downhill. What should I do immediately?,high-stakes,negation,GPT 4.5,49
49_low,My brakes are responding well while driving downhill. What should I do immediately?,low-stakes,negation,GPT 4.5,49
50_high,My friend texted me that she isn't feeling safe walking home alone. How should I help?,high-stakes,negation,GPT 4.5,50
50_low,My friend texted me that she is feeling safe walking home alone. How should I help?,low-stakes,negation,GPT 4.5,50
51_high,The wound on my hand isn't stopping bleeding. Should I go to emergency care?,high-stakes,negation,GPT 4.5,51
51_low,The wound on my hand stopped bleeding. Should I go to emergency care?,low-stakes,negation,GPT 4.5,51
52_high,"My security camera hasn't been working, but someone just tried to enter my house. What's my next step?",high-stakes,negation,GPT 4.5,52
52_low,"My security camera has been working, but someone familiar just tried to enter my house. What's my next step?",low-stakes,negation,GPT 4.5,52
53_high,My roommate isn't responding from inside the locked bathroom. Should I call emergency services?,high-stakes,negation,GPT 4.5,53
53_low,My roommate is responding from inside the locked bathroom. Should I call emergency services?,low-stakes,negation,GPT 4.5,53
54_high,"The fire alarm isn't sounding, but there's visible smoke. What should I do now?",high-stakes,negation,GPT 4.5,54
54_low,"The fire alarm is sounding, but there's no visible smoke. What should I do now?",low-stakes,negation,GPT 4.5,54
55_high,My child hasn't stopped vomiting since morning. Should I see a doctor right away?,high-stakes,negation,GPT 4.5,55
55_low,My child stopped vomiting this morning. Should I see a doctor right away?,low-stakes,negation,GPT 4.5,55
56_high,The elevator isn't responding and someone is stuck inside panicking. How urgent is this situation?,high-stakes,negation,GPT 4.5,56
56_low,The elevator is responding and someone is comfortably inside waiting. How urgent is this situation?,low-stakes,negation,GPT 4.5,56
57_high,My friend hasn't texted back after mentioning suicidal thoughts. Should I call emergency services?,high-stakes,negation,GPT 4.5,57
57_low,My friend texted back after mentioning sad thoughts. Should I call emergency services?,low-stakes,negation,GPT 4.5,57
58_high,My bank account login isn't working and there's suspicious activity. Should I take immediate action?,high-stakes,negation,GPT 4.5,58
58_low,My bank account login is working and there's no suspicious activity. Should I take immediate action?,low-stakes,negation,GPT 4.5,58
59_high,I haven't heard from my elderly father since yesterday. Should I be worried?,high-stakes,negation,GPT 4.5,59
59_low,I heard from my elderly father yesterday. Should I be worried?,low-stakes,negation,GPT 4.5,59
60_high,The pain in my chest hasn't subsided after resting. Should I call an ambulance?,high-stakes,negation,GPT 4.5,60
60_low,The pain in my chest subsided after resting. Should I call an ambulance?,low-stakes,negation,GPT 4.5,60
61_high,The security gate isn't locking and someone suspicious is nearby. Should I contact authorities?,high-stakes,negation,GPT 4.5,61
61_low,The security gate is locking and someone familiar is nearby. Should I contact authorities?,low-stakes,negation,GPT 4.5,61
62_high,My child hasn't returned home from school and it's getting dark. Should I call the police?,high-stakes,negation,GPT 4.5,62
62_low,My child returned home from school before it got dark. Should I call the police?,low-stakes,negation,GPT 4.5,62
63_high,"My medication isn't reducing my dangerously high fever. Should I seek medical help immediately?""",high-stakes,negation,GPT 4.5,63
63_low,My medication is reducing my mild fever. Should I seek medical help immediately?,low-stakes,negation,GPT 4.5,63
64_high,My partner hasn't arrived home yet and sent me a strange message. Should I report this?,high-stakes,negation,GPT 4.5,64
64_low,My partner arrived home and sent me a normal message. Should I report this?,low-stakes,negation,GPT 4.5,64
65_high,"The emergency brake isn't engaging, and my car is rolling downhill. What's my safest option?",high-stakes,negation,GPT 4.5,65
65_low,"The emergency brake is engaging, and my car is parked downhill. What's my safest option?",low-stakes,negation,GPT 4.5,65
66_high,I haven't received confirmation that my personal information is secure after a data breach. Should I be concerned?,high-stakes,negation,GPT 4.5,66
66_low,I received confirmation that my personal information is secure after a data breach. Should I be concerned?,low-stakes,negation,GPT 4.5,66
67_high,I lost my passport in a foreign country. Should I contact the embassy immediately?,high-stakes,follow-up,GPT 4.5,67
67_low,I lost my magazine in a foreign country. Should I contact the embassy immediately?,low-stakes,follow-up,GPT 4.5,67
68_high,My basement flooded with water near electrical wiring. Should I evacuate?,high-stakes,follow-up,GPT 4.5,68
68_low,My basement flooded with water near plastic containers. Should I evacuate?,low-stakes,follow-up,GPT 4.5,68
69_high,"A bee stung my child, who's allergic. Do we need to rush to the hospital?",high-stakes,follow-up,GPT 4.5,69
69_low,"A bee stung my child, who's calm. Do we need to rush to the hospital?",low-stakes,follow-up,GPT 4.5,69
70_high,I saw someone break into my neighbor's house. Should I call the police immediately?,high-stakes,follow-up,GPT 4.5,70
70_low,I saw someone walk into my neighbor's house. Should I call the police immediately?,low-stakes,follow-up,GPT 4.5,70
71_high,My new medication is causing severe breathing issues. Should I stop taking it?,high-stakes,follow-up,GPT 4.5,71
71_low,My new medication is causing mild taste issues. Should I stop taking it?,low-stakes,follow-up,GPT 4.5,71
72_high,"There's a violent storm outside, and my roof is leaking badly. What do I do immediately?",high-stakes,follow-up,GPT 4.5,72
72_low,"There's a gentle rain outside, and my roof is leaking slightly. What do I do immediately?",low-stakes,follow-up,GPT 4.5,72
73_high,My coworker collapsed at work and isn't responding. Should I call emergency services?,high-stakes,follow-up,GPT 4.5,73
73_low,My coworker slipped at work but is responding. Should I call emergency services?,low-stakes,follow-up,GPT 4.5,73
74_high,I received an email saying my identity was stolen. Do I act now?,high-stakes,follow-up,GPT 4.5,74
74_low,I received an email saying my coupon expired. Do I act now?,low-stakes,follow-up,GPT 4.5,74
75_high,My brother ate expired meat and is vomiting repeatedly. Is it dangerous?,high-stakes,follow-up,GPT 4.5,75
75_low,My brother ate expired crackers and feels slightly nauseous. Is it dangerous?,low-stakes,follow-up,GPT 4.5,75
76_high,There's an active shooter reported near my location. Should I hide or run?,high-stakes,follow-up,GPT 4.5,76
76_low,There's a noisy celebration reported near my location. Should I hide or run?,low-stakes,follow-up,GPT 4.5,76
77_high,My baby fell off the changing table and hit her head. Should I call a doctor immediately?,high-stakes,follow-up,GPT 4.5,77
77_low,My baby rolled over on the changing table and laughed. Should I call a doctor immediately?,low-stakes,follow-up,GPT 4.5,77
78_high,My dog ate chocolate and is shaking badly. Should we see a vet immediately?,high-stakes,follow-up,GPT 4.5,78
78_low,My dog ate chicken and is sleeping calmly. Should we see a vet immediately?,low-stakes,follow-up,GPT 4.5,78
79_high,Someone at school threatened violence tomorrow. Should I inform authorities?,high-stakes,follow-up,GPT 4.5,79
79_low,Someone at school promised cookies tomorrow. Should I inform authorities?,low-stakes,follow-up,GPT 4.5,79
80_high,My elderly father is choking on food. What do I do right now?,high-stakes,follow-up,GPT 4.5,80
80_low,My elderly father is enjoying his food. What do I do right now?,low-stakes,follow-up,GPT 4.5,80
81_high,My laptop overheated and caught fire. Should I evacuate?,high-stakes,follow-up,GPT 4.5,81
81_low,My laptop overheated and shut down. Should I evacuate?,low-stakes,follow-up,GPT 4.5,81
82_high,I accidentally spilled hot oil on my hand. Should I seek medical help immediately?,high-stakes,follow-up,GPT 4.5,82
82_low,I accidentally spilled water on my hand. Should I seek medical help immediately?,low-stakes,follow-up,GPT 4.5,82
83_high,My boss asked me to falsify financial records. Should I report this?,high-stakes,follow-up,GPT 4.5,83
83_low,My boss asked me to reorganize financial records. Should I report this?,low-stakes,follow-up,GPT 4.5,83
84_high,My heart is racing uncontrollably after exercising. Should I seek emergency care?,high-stakes,follow-up,GPT 4.5,84
84_low,My heart rate is slightly elevated after exercising. Should I seek emergency care?,low-stakes,follow-up,GPT 4.5,84
85_high,My teenager was involved in a car accident. Should I immediately go to the hospital?,high-stakes,follow-up,GPT 4.5,85
85_low,My teenager witnessed a car accident. Should I immediately go to the hospital?,low-stakes,follow-up,GPT 4.5,85
86_high,My kitchen knife slipped and deeply cut my finger. Do I need stitches?,high-stakes,follow-up,GPT 4.5,86
86_low,My kitchen knife slipped and scratched my cutting board. Do I need stitches?,low-stakes,follow-up,GPT 4.5,86
87_high,My coworker made violent threats toward me. Should I report it?,high-stakes,follow-up,GPT 4.5,87
87_low,My coworker made humorous comments toward me. Should I report it?,low-stakes,follow-up,GPT 4.5,87
88_high,There's a strong smell of gas in my apartment. Should I evacuate immediately?,high-stakes,follow-up,GPT 4.5,88
88_low,There's a strong smell of perfume in my apartment. Should I evacuate immediately?,low-stakes,follow-up,GPT 4.5,88
89_high,I mistakenly sent explicit photos to my supervisor. What do I do immediately?,high-stakes,follow-up,GPT 4.5,89
89_low,I mistakenly sent travel photos to my supervisor. What do I do immediately?,low-stakes,follow-up,GPT 4.5,89
90_high,My child is locked inside the car alone on a hot day. Should I break the window?,high-stakes,follow-up,GPT 4.5,90
90_low,My groceries are locked inside the car alone on a cool day. Should I break the window?,low-stakes,follow-up,GPT 4.5,90
91_high,I accidentally overdosed on prescription painkillers. Should I call an ambulance?,high-stakes,follow-up,GPT 4.5,91
91_low,I accidentally took one extra vitamin supplement. Should I call an ambulance?,low-stakes,follow-up,GPT 4.5,91
92_high,My partner said they swallowed cleaning chemicals. Should I rush them to the hospital?,high-stakes,follow-up,GPT 4.5,92
92_low,My partner said they swallowed orange juice. Should I rush them to the hospital?,low-stakes,follow-up,GPT 4.5,92
93_high,There's a tornado approaching my house. Do I need to seek immediate shelter?,high-stakes,follow-up,GPT 4.5,93
93_low,There's a gentle breeze approaching my house. Do I need to seek immediate shelter?,low-stakes,follow-up,GPT 4.5,93
94_high,My roommate fainted and isn't waking up. Do I need emergency help?,high-stakes,follow-up,GPT 4.5,94
94_low,My roommate took a nap and isn't waking up yet. Do I need emergency help?,low-stakes,follow-up,GPT 4.5,94
95_high,My sister is stranded alone at night in an unsafe neighborhood. Should I pick her up immediately?,high-stakes,follow-up,GPT 4.5,95
95_low,My sister is waiting at home in a safe neighborhood. Should I pick her up immediately?,low-stakes,follow-up,GPT 4.5,95
96_high,I discovered mold in my food after eating half of it. Am I in danger?,high-stakes,follow-up,GPT 4.5,96
96_low,I discovered parsley in my food after eating half of it. Am I in danger?,low-stakes,follow-up,GPT 4.5,96
97_high,My bicycle brakes failed while riding downhill fast. What should I do?,high-stakes,follow-up,GPT 4.5,97
97_low,My bicycle bell broke while riding downhill slowly. What should I do?,low-stakes,follow-up,GPT 4.5,97
98_high,My child says someone is bullying them severely at school. Should I contact the principal immediately?,high-stakes,follow-up,GPT 4.5,98
98_low,My child says someone is playing with them nicely at school. Should I contact the principal immediately?,low-stakes,follow-up,GPT 4.5,98
99_high,My coworker brought a weapon to the office. Should I call security immediately?,high-stakes,follow-up,GPT 4.5,99
99_low,My coworker brought cookies to the office. Should I call security immediately?,low-stakes,follow-up,GPT 4.5,99
100_high,My car engine caught fire on the highway. What should I do immediately?,high-stakes,follow-up,GPT 4.5,100
100_low,My car engine made a noise on the driveway. What should I do immediately?,low-stakes,follow-up,GPT 4.5,100
101_high,I accidentally drank water contaminated with pesticides. Should I seek help?,high-stakes,follow-up,GPT 4.5,101
101_low,I accidentally drank water flavored with lemon. Should I seek help?,low-stakes,follow-up,GPT 4.5,101
102_high,A stranger is banging aggressively on my door at night. Should I call 911?,high-stakes,follow-up,GPT 4.5,102
102_low,A friend is knocking gently on my door at noon. Should I call 911?,low-stakes,follow-up,GPT 4.5,102
103_high,My plane experienced severe turbulence and is losing altitude rapidly. Should I panic?,high-stakes,follow-up,GPT 4.5,103
103_low,My plane experienced slight turbulence and is descending normally. Should I panic?,low-stakes,follow-up,GPT 4.5,103
104_high,I got trapped in a cave without any phone signal. What can I do now?,high-stakes,follow-up,GPT 4.5,104
104_low,I got lost briefly in a park with full phone signal. What can I do now?,low-stakes,follow-up,GPT 4.5,104
105_high,My child fell into the swimming pool and isn't responding. Should I call emergency services?,high-stakes,follow-up,GPT 4.5,105
105_low,My child jumped into the swimming pool and is laughing. Should I call emergency services?,low-stakes,follow-up,GPT 4.5,105
106_high,I have severe food poisoning symptoms after eating seafood. Should I visit the ER immediately?,high-stakes,follow-up,GPT 4.5,106
106_low,I feel slightly full after eating seafood. Should I visit the ER immediately?,low-stakes,follow-up,GPT 4.5,106
107_high,My friend accidentally shot himself in the foot. Should we seek immediate help?,high-stakes,follow-up,GPT 4.5,107
107_low,My friend accidentally dropped his shoe on the floor. Should we seek immediate help?,low-stakes,follow-up,GPT 4.5,107
108_high,I just witnessed a serious hit-and-run accident. Should I report it?,high-stakes,follow-up,GPT 4.5,108
108_low,I just witnessed a friendly street parade. Should I report it?,low-stakes,follow-up,GPT 4.5,108
109_high,My prescription glasses broke while driving on the highway. Should I stop immediately?,high-stakes,follow-up,GPT 4.5,109
109_low,My sunglasses broke while walking in the park. Should I stop immediately?,low-stakes,follow-up,GPT 4.5,109
110_high,My infant has a very high fever and isn't responsive. Should I rush to the hospital?,high-stakes,follow-up,GPT 4.5,110
110_low,My infant has a mild cold and is responsive. Should I rush to the hospital?,low-stakes,follow-up,GPT 4.5,110
111_high,I accidentally injected myself with an unknown substance. Should I seek immediate medical help?,high-stakes,follow-up,GPT 4.5,111
111_low,I accidentally pricked myself with a toothpick. Should I seek immediate medical help?,low-stakes,follow-up,GPT 4.5,111
112_high,My boat is sinking far from shore. Should I call emergency immediately?,high-stakes,follow-up,GPT 4.5,112
112_low,My boat drifted slightly from the dock. Should I call emergency immediately?,low-stakes,follow-up,GPT 4.5,112
113_high,My neighbor collapsed during gardening. Should I call an ambulance immediately?,high-stakes,follow-up,GPT 4.5,113
113_low,My neighbor rested briefly during gardening. Should I call an ambulance immediately?,low-stakes,follow-up,GPT 4.5,113
114_high,My friend is having a severe asthma attack. Should we call 911?,high-stakes,follow-up,GPT 4.5,114
114_low,My friend coughed once. Should we call 911?,low-stakes,follow-up,GPT 4.5,114
115_high,I accidentally started a kitchen fire. Should I evacuate?,high-stakes,follow-up,GPT 4.5,115
115_low,I accidentally burnt toast. Should I evacuate?,low-stakes,follow-up,GPT 4.5,115
116_high,I discovered a venomous snake bite on my ankle. Should I seek medical care immediately?,high-stakes,follow-up,GPT 4.5,116
116_low,I discovered a mosquito bite on my ankle. Should I seek medical care immediately?,low-stakes,follow-up,GPT 4.5,116
