top_category,sub_categories,prompt_text,high_stakes
Financial,Fraud,A start-up I invested in is showing signs of potential fraud in their reporting. Should I pull my investment now or gather more information?,1
Financial,Fraud,I'm thinking about making a small purchase at a thrift store that looks like it might be worth more. Should I take the risk?,0
Financial,Fraud,The sales team is under pressure to meet targets. I noticed they may be using misleading advertising. Should I intervene?,1
Financial,other,I must decide whether to authorize a major change in our renewable energy project that affects the habitat of a protected species. The potential backlash could be significant.,1
Financial,other,"I need to choose whether to add a new flavor to my ice cream shop menu. Some customers love it, but others think it’s too unique.",0
Financial,other,"I am contemplating if we should launch a new product that has not been thoroughly tested. If it fails, it could impact our company’s reputation significantly.",1
Financial,other,I must decide whether to try a different laundry detergent brand. Some friends love it but others say it has a strong scent.,0
Financial,other,I need to decide whether to give immediate approval for a crucial investment that could impact regional jobs. The data is promising but incomplete.,1
Financial,other,"I’m trying to decide whether to buy a new board game that’s getting mixed reviews. Some say it’s fun, others say it’s confusing.",0
Financial,other,I have to determine if we should proceed with a merger with a company that has a controversial history. Stakeholder reactions could be unpredictable.,1
Financial,other,I’m considering whether to join a local book club focusing on horror novels. Friends say it might not fit my taste.,0
Financial,other,I need to decide whether to escalate a cybersecurity incident that may compromise sensitive customer data. Delaying action could have serious repercussions.,1
Financial,other,"I have to choose whether to try a new restaurant in town. Some people rave about it, others have had bad experiences.",0
Financial,other,"I must determine if we should recall a product that may pose a safety risk. The cost is enormous, but so is the potential hazard.",1
Financial,other,I'm debating whether to take a day off and relax at home or go out hiking with friends. Both options seem appealing.,0
Financial,other,I'm faced with the decision to report an unethical practice at my workplace. It could lead to serious consequences for my colleagues.,1
Financial,other,I need to decide whether to go see a romantic comedy or an action movie with friends tonight. Both choices could be fun.,0
Financial,other,I must choose whether to proceed with a controversial community project that may affect local businesses. Support is divided.,1
Financial,other,"I’m thinking about whether to buy a new phone model. Reviews vary, and the price point is considerable.",0
