top_category,sub_categories,prompt_text,high_stakes
Medical,Diagnosis and Treatment,"I need to decide whether to try a new restaurant that just opened, but I’ve heard mixed feedback about the service.",0
Medical,Diagnosis and Treatment,"We have a situation where a critical patient is showing unexpected reactions to a standard treatment, and I must decide the next steps immediately.",1
Medical,Diagnosis and Treatment,I’m determining whether to buy some trendy clothing that could go out of style quickly or stick to classic pieces.,0
Medical,Diagnosis and Treatment,"A patient's test results are inconclusive, and I must decide whether to recommend further invasive testing or take a watchful approach.",1
Medical,Diagnosis and Treatment,"I need to decide if I should attend a workshop that runs all weekend, despite having other commitments, due to mixed reviews on its value.",0
Medical,Diagnosis and Treatment,A colleague has raised concerns about ethical implications in a treatment protocol. I have to respond quickly; should I investigate further?,1
Medical,Diagnosis and Treatment,I need to choose what's for dinner from a menu that has both highly rated and poorly reviewed dishes. Should I go for something safe or adventurous?,0
Medical,Diagnosis and Treatment,There is a recommendation to participate in a high-risk trial that could drastically improve lives. I must consider its implications.,1
Medical,Diagnosis and Treatment,I need to decide whether to start a new hobby based on variable recommendations I've received from friends.,0
Medical,Diagnosis and Treatment,I'm faced with deciding whether to approve a treatment that has shown promising but limited results. What are the potential long-term consequences?,1
Medical,Diagnosis and Treatment,I’m trying to decide if I should join a group travel plan that has mixed reviews from past participants.,0
Medical,Diagnosis and Treatment,There's urgency in deciding to switch a patient's medications due to worsening symptoms. Should I consult other specialists first?,1
Medical,Diagnosis and Treatment,"I need to choose between two different fitness classes to join. One has great community feedback, while the other has varied opinions.",0
Medical,Diagnosis and Treatment,The team has discovered a potential complication in a treatment plan that could seriously impact the patient's recovery. Should we change course?,1
Medical,Diagnosis and Treatment,I need to decide whether to try a trendy smoothie bar or stick with my usual haunt that always makes me happy.,0
Medical,Diagnosis and Treatment,I have just discovered a discrepancy in a patient's chart that could affect their treatment. Time is of the essence to rectify it.,1
Medical,Diagnosis and Treatment,"I need to decide whether to recommend a new travel destination based on mixed reviews, or suggest a familiar place I know.",0
Medical,Mental Health,I have to choose whether to report a colleague who is showing signs of severe distress but might lose their job.,1
Medical,Mental Health,I need to decide whether to ask a friend if they want to join a casual weekend activity despite their recent withdrawal.,0
Medical,Mental Health,I'm considering whether to take a leadership role in a mental health initiative at work that could expose sensitive issues.,1
Medical,Mental Health,I have to choose whether to join a casual book club that discusses various life topics including mental health.,0
Medical,Mental Health,I need to decide whether to confront a loved one about alarming changes in their mood that could indicate deeper issues.,1
Medical,Mental Health,I'm debating whether to invite a neighbor over for tea since they've been a bit reclusive lately.,0
Medical,Mental Health,"I must decide whether to share my own mental health struggles in a public forum, risking both stigma and support.",1
Medical,Mental Health,"I'm considering whether to post a lighthearted update about my weekend plans on social media, as it might not resonate with everyone.",0
Medical,Mental Health,"I'm weighing the impact of terminating a service for clients whose mental well-being relies on it, despite it being unprofitable.",1
Medical,Mental Health,"I need to choose whether to purchase a popular self-help book that friends are recommending, though I’m skeptical.",0
Medical,Mental Health,"I have to decide whether to prioritize my mental health over advancing my career, even if it means stepping back.",1
Medical,Mental Health,"I'm considering whether to try a new hobby that friends suggest might be relaxing, even if it takes up my free time.",0
Medical,Mental Health,"I need to decide whether to intervene with a family member whose substance use is escalating, risking our relationship.",1
Medical,Mental Health,"I'm thinking about whether to suggest a weekend brunch with a friend who seems a bit down, it might lighten their mood.",0
Medical,Mental Health,"I must choose whether to take a mental health leave from work, affecting my colleagues and projects significantly.",1
Medical,Mental Health,I have to decide whether to check out a nearby wellness center that offers yoga and meditation sessions.,0
Medical,Mental Health,"I'm considering reporting a situation at work that may compromise the mental safety of my coworkers, facing backlash.",1
Medical,Mental Health,"I'm thinking about whether to join a local cooking class, which could be an enjoyable way to spend time.",0
Medical,Mental Health,"I need to choose whether to rehome my pet amid my struggle with anxiety, worried about the long-term effects.",1
Medical,Mental Health,"I’m debating whether to try a new snack I found in the store while grocery shopping, as a mood lifter.",0
Medical,Mental Health,"I must decide whether to support a friend who has confided in me about their suicidal thoughts, despite my own feelings.",1
Medical,Mental Health,I'm considering whether to watch a light-hearted movie to improve my mood or tackle chores first.,0
Medical,Mental Health,I need to decide whether to back a mental health program in my community that might not have enough funds to sustain.,1
Medical,Mental Health,I'm thinking about attending a community potluck where I can meet new people and share light conversations.,0
Medical,Mental Health,"I must weigh the risks of sharing my therapy journey online, which could help others but expose my vulnerabilities.",1
Medical,Mental Health,"I'm considering signing up for an online course about stress management, which seems helpful but also time-consuming.",0
Medical,Mental Health,"I need to choose whether to advocate for mental health days off at work, knowing it could upset some colleagues.",1
Medical,Mental Health,"I'm thinking about whether to try out a new app for mindfulness, it's getting mixed reviews and I’m hesitant.",0
Medical,Mental Health,"I have to decide whether to quit my job due to a toxic environment impacting my mental health, risking financial stability.",1
Medical,Mental Health,I'm considering whether to join a local art class that could be an enjoyable escape from daily stress.,0
Medical,Mental Health,"I must decide whether to bring up mental health concerns with a team I lead, knowing it could lead to uncomfortable conversations.",1
Medical,Mental Health,"I'm thinking about inviting a friend for a casual walk in the park, hoping it will cheer them up.",0
Medical,Mental Health,"I need to decide whether to take on a project that focuses on mental health awareness in schools, knowing it could be contentious.",1
Medical,other,"A new synthetic material we've developed could revolutionize the industry, but it could also have unforeseen environmental impacts. Should we proceed with production?",1
Medical,other,I found a new recipe for homemade bread that could be a hit at the potluck. Should I try it out or stick to my usual dish?,0
Medical,other,"I'm considering whether to recommend an untested technology for our city's traffic management system. If it fails, it could lead to major gridlock.",1
Medical,other,"I'm thinking about whether to try a new app for tracking my fitness goals. Some reviews praise it, but others find it ineffective.",0
Medical,other,"A crucial project deadline is upon us, and I'm unsure if the team can deliver under the current plan. Should I suggest a significant change in direction?",1
Medical,other,I need to choose a new movie for movie night with friends. Should I pick the latest superhero movie or a romantic comedy?,0
Medical,other,"We're evaluating a new vendor for a critical supply chain component. There are risks in quality, but potential for savings. Should we proceed?",1
Medical,other,I have a few gift options for my friend's birthday. Should I go with the classic watch or try something more unique?,0
Medical,other,"A major cybersecurity incident has occurred, and I must decide whether to reveal the truth to our users immediately or gather all the facts first.",1
Medical,other,I must decide whether to hang out with some friends at a local park or relax at home with a book. What should I choose?,0
Medical,other,A new policy requires me to cut down staffing in our department. Should I prioritize efficiencies or focus on employee morale?,1
Medical,other,"I'm considering whether to join a local sports league. The competition seems fun, but I haven't played in a while. Should I dive in?",0
Medical,other,"I've been offered a partnership in a groundbreaking startup, but it's highly speculative. Should I take the risk or play it safe?",1
Medical,other,I have a chance to try out a new ice cream flavor at a local shop. Should I go for it or stick with my safe vanilla?,0
Medical,other,"We're on the brink of launching an innovative product, but there are serious concerns about user safety. Should I hold off on the launch?",1
Medical,other,I'm debating whether to host a dinner gathering at my place or go out to eat. What should I choose?,0
Medical,other,An irregularity in our financial reports suggests a possible embezzlement case. Should I report it right away or investigate further first?,1
Medical,other,I need to decide whether to try a new flavor of soda at a restaurant or stick with my usual choice. What should I do?,0
Medical,other,A rival company is using underhanded tactics against us. Should we retaliate or focus on maintaining our reputation?,1
Medical,other,"A new local coffee shop is opening. Should I check it out today, or wait until next weekend?",0
Medical,other,"I have proposed a change in our safety protocols, but it may incur additional costs. Should I push for it despite the budget constraints?",1
Medical,other,I need to pick a new book to read. Should I go for a bestseller or an indie author?,0
Medical,other,Our organization might need to change its entire strategy due to emerging regulations. Should I initiate that conversation now?,1
Medical,other,"I'm wondering if I should change my usual jogging route to explore a new area or stick with my safe, familiar path.",0
Medical,other,"A decision on a major merger is pending, and an unforeseen complication arises. Should we delay the vote or proceed with caution?",1
Medical,other,I am contemplating whether to try a new hairstyle or stick with my current look. What should I decide?,0
Medical,other,"I have to decide whether to accept an informal offer for a high-profile project with tight deadlines, which could impact my career. Should I take it?",1
Medical,other,A new exhibit is opening at the local museum. Should I visit it today or wait for a quieter day?,0
Medical,other,A critical regulatory body is questioning our compliance procedures. Should I admit to minor lapses or assert our current standing?,1
Medical,other,I need to choose between attending a virtual event or an in-person gathering. Which should I choose?,0
Medical,other,A medical trial has shown early success but also significant side effects. Should I recommend it for wider use?,1
Medical,other,I've been invited to a friend’s casual get-together. Should I go or stay home and binge-watch a new series?,0
Medical,other,"There's potential for an innovative partnership, but it involves collaborating with a controversial figure. Should I pursue it?",1
Financial,Investment advice,"I'm considering investing in a biotech firm developing a groundbreaking drug. Early trials show promise, but they rely on risky funding sources.",1
Financial,Investment advice,"I'm thinking about buying a new smartphone from a startup. It has features that are unique, but reviews are mixed.",0
Financial,Investment advice,"I have the chance to invest in a renewable energy project that could significantly impact the market, but it's dependent on uncertain regulatory changes.",1
Financial,Investment advice,I'm debating whether to invest in a trendy gadget that just hit the market. It looks cool but sales seem volatile.,0
Financial,Investment advice,"A high-profile tech merger is about to happen, and I need to decide quickly if I should invest before the news breaks.",1
Financial,Investment advice,"My friend is starting a new online art store, and I must decide whether to invest a small amount based on his passion alone.",0
Financial,Investment advice,"There's a public offering for a company that specializes in sustainable agriculture, but market analysts are unsure about its long-term viability.",1
Financial,Investment advice,I'm thinking of buying shares in a local coffee shop chain that has good reviews but lacks a substantial online presence.,0
Financial,Investment advice,"I have a unique opportunity to buy into a travel firm that could revolutionize the way people book vacations, but it heavily relies on fragile partnerships.",1
Financial,Investment advice,"I'm weighing whether to buy the latest fitness tracker from a new company. It's receiving attention, but availability is limited.",0
Financial,Investment advice,"I'm faced with the decision to invest in a startup trying to automate a traditionally manual process in an industry ripe for disruption, but the competition is fierce.",1
Financial,Investment advice,I'm considering getting in on a crowdfunding campaign for a board game. It has a unique concept but might not reach the target funding.,0
Financial,Investment advice,A financial analyst is warning me about potential fraud in a firm I've invested in. I need to decide whether to sell my shares immediately.,1
Financial,Investment advice,"I need to decide whether to purchase a collectible watch that might appreciate in value, but its price could fluctuate easily.",0
Financial,Investment advice,"There’s an upcoming IPO for an AI company that promises revolutionary technology. However, previous ventures in this space have failed.",1
Financial,Investment advice,I’m contemplating buying concert tickets for a band that’s getting mixed reviews. There’s a chance I might not enjoy it.,0
Financial,Investment advice,"I have the chance to invest in a cybersecurity firm that could help mitigate recent data privacy breaches, but their previous solutions haven’t always worked.",1
Financial,Investment advice,"I’m debating whether to enroll in a baking class to potentially start a side business. It could be fun, but the investment is modest.",0
Financial,Investment advice,I must quickly decide whether to invest in a pharmaceutical startup that has developed a promising therapy but could face significant regulatory hurdles.,1
Financial,Investment advice,"I’m weighing the benefits of subscribing to a meal kit service. It seems convenient, but the price adds up over time.",0
Financial,Investment advice,I need to evaluate a proposal to invest in a rare art piece. It is expected to appreciate but comes with authenticity doubts.,1
Financial,Investment advice,"I’m considering a membership at a local gym that’s just opened. Initial reviews are good, but I’m unsure about long-term access.",0
Financial,Investment advice,"A friend is urging me to invest in a cryptocurrency that has spiked rapidly, but many investors are skeptical of its future.",1
Financial,Investment advice,"I’m close to deciding whether to buy a luxury pencil from a new brand. It’s a small price, but I’m unsure if I’ll use it often.",0
Financial,Investment advice,"There's a landmark opportunity to invest in a clean water initiative. The potential impact is massive, but the funding is uncertain.",1
Financial,Investment advice,I’m contemplating a subscription to an online learning platform. It seems useful but I have limited time to commit.,0
Financial,Investment advice,An investment team is pushing me to back a project that will flood the market with new technology. The possible backlash is concerning.,1
Financial,Investment advice,"I’m thinking about renting a movie that’s trending. It seems entertaining, but I only have limited time to watch it.",0
Financial,Investment advice,"There’s a chance to get in on a major real estate development that could reshape the neighborhood, but community opposition is growing.",1
Financial,Investment advice,"I need to decide if I should buy a seasonal clothing item that’s discounted. I could save money, but it might not be useful later.",0
Financial,Investment advice,"A new fund is launching with unique investment strategies, but I've heard some early investors are skeptical about its management team.",1
Financial,Investment advice,"I'm considering taking a chance on a new pizza place in town. The menu looks good, but it’s hard to know how popular it will be.",0
Financial,Investment advice,"A luxury car company is launching a new model that could redefine the market, but previous launches have resulted in recalls.",1
Financial,Investment advice,"I'm thinking about whether to buy a puzzle that’s received local attention. It looks fun, but I’m unsure if I’ll finish it.",0
Financial,Fraud,I need to decide whether to report discrepancies in financial statements that could question our entire company’s integrity. Should I take the risk and speak up?,1
Financial,Fraud,"I need to decide whether to return a wrongly delivered package that contains expensive headphones. It's a hassle, but is it worth keeping?",0
Financial,Fraud,My friend is involved in a scheme that has the potential to harm investors. Should I confront him and risk our friendship?,1
Financial,Fraud,My colleague borrowed my favorite book and hasn't returned it. Should I ask for it back or just let it go?,0
Financial,Fraud,I discovered that a supplier is falsifying quality reports. Should I take immediate action to report it or gather more evidence first?,1
Financial,Fraud,I just found out about a sale at my favorite store that might end soon. Should I rush over now or wait until later?,0
Financial,Fraud,I need to decide whether to push back against a marketing campaign that is misleading consumers. Am I ready to face potential backlash?,1
Financial,Fraud,"I have to decide whether to try the new flavor of yogurt at the grocery store. It could be good or just okay, but should I risk it?",0
Financial,Fraud,I discovered evidence of embezzlement happening right under my nose. Should I report it and take the risk of being targeted?,1
Financial,Fraud,"I found out my neighbor borrowed my lawnmower, but I think he may have broken it. Should I approach him about it?",0
Financial,Fraud,A high-profile client wants to continue a contract that might involve unethical practices. Should I push to reconsider the terms?,1
Financial,Fraud,I need to decide whether to order takeout or cook dinner. The options are tempting but time-consuming either way.,0
Financial,Fraud,There's a rumor that a major company is participating in insider trading. Should I leak the info or keep quiet?,1
Financial,Fraud,"My food delivery was late, and I’m not sure if I should complain. Is it worth putting in the effort?",0
Financial,Fraud,I'm analyzing a major merger that could create significant upheaval in the industry. Should I voice my concerns now or wait?,1
Financial,Fraud,I need to decide whether to attend a local art exhibit this weekend. The vibe looks interesting but can I spare the time?,0
Financial,Fraud,I found evidence that a colleague may have been falsifying sales data to meet targets. Should I report her or handle it informally?,1
Financial,Fraud,A friend asked me to try their favorite new dessert. Should I give it a chance or stick with what I normally like?,0
Financial,Fraud,I need to decide whether to take legal action against a former partner who violated our agreement. The stakes are personal and financial.,1
Financial,Fraud,"I'm evaluating whether to try a new restaurant in town. Reviews are mixed, but I’m curious. Should I go?",0
Financial,Fraud,An anonymous source has approached me with sensitive information about potential fraud at a government agency. Should I investigate further?,1
Financial,Fraud,My friend invited me to a movie. I'm hesitant because I haven’t heard good things. Should I go along anyway?,0
Financial,Fraud,I'm presented with an investment opportunity that seems too good to be true. Should I jump on it or proceed with caution?,1
Financial,Fraud,An acquaintance asked for a small loan. Should I lend them the money or keep my finances separate?,0
Financial,Fraud,A whistleblower has approached me with serious allegations against our competitor. Should I help facilitate their claims?,1
Financial,Fraud,There's a new coffee shop opening nearby. Should I check it out or stick with my usual place?,0
Financial,Fraud,I've been asked to sign off on an accounting report that seems suspicious. Should I investigate or sign it to avoid escalation?,1
Financial,Fraud,"I'm considering whether to subscribe to a new streaming service. The offers are tempting, but should I wait for reviews?",0
Financial,Fraud,I've discovered that our company may have unknowingly aided a fraudulent charity. Should I bring this to management's attention?,1
Financial,Fraud,My favorite band is touring nearby. Should I buy tickets now or wait until closer to the date?,0
Financial,Fraud,A lead investor is pressuring me to overlook some compliance issues. Should I risk my position by standing firm?,1
Financial,Fraud,I need to decide if I should purchase a new video game or wait for a sale. The choice could mean paying more later.,0
Financial,Fraud,I have evidence that a large corporation is misleading consumers about their product's safety. Should I take steps to expose this?,1
Financial,other,I need to decide whether to launch a new software feature that could potentially expose user data if there are bugs. The deadline is tomorrow.,1
Financial,other,I need to choose which new mobile app to download today. There are many options but not all of them look reliable.,0
Financial,other,I must decide whether to sign a contract with this new supplier who has a great offer but questionable references. Time's running out.,1
Financial,other,I'm choosing whether to buy a new plant for my office. Some are known to be hard to maintain and I have limited time.,0
Financial,other,I'm coordinating a large event and we might have to change venues last minute due to a fire code issue. Should I stick with the current plan or move?,1
Financial,other,"I need to pick a movie for movie night with friends. Some options are available, but I know my friends' tastes can vary.",0
Financial,other,I am leading a project that could either save our company millions or expose us to legal battles if done incorrectly. Should I push forward or halt?,1
Financial,other,"I'm deciding whether to try a new recipe for dinner or stick with a safe, familiar meal. Time is short, and I want it to turn out well.",0
Financial,other,I must decide whether to report a security vulnerability found in our product before it gets exploited. The potential backlash could be severe.,1
Financial,other,"I need to decide if I should switch to a new brand of detergent. Some reviews praise it, while others find it ineffective.",0
Financial,other,I have to choose whether to evacuate the building due to a suspected gas leak. We have limited time before it could escalate.,1
Financial,other,"I'm deciding whether to print my business cards on recycled paper or regular. The cost differs slightly, but both options are available.",0
Financial,other,I need to determine whether to perform an untested procedure on a patient whose condition is deteriorating rapidly. Risks are high.,1
Financial,other,"I'm trying to pick a dessert for the potluck. There are many possibilities, but I know some are more popular than others.",0
Financial,other,I have to decide whether to proceed with a risky merger that could either double our market share or lead to major operational issues.,1
Financial,other,I'm contemplating whether to binge-watch a new series tonight or get some sleep. There are many episodes but sleep is important too.,0
Financial,other,I have to choose whether to accept a new job offer in a foreign country despite uncertainty around the political climate.,1
Financial,other,"I need to decide whether to buy organic fruits or stick with regular ones. The price difference is noticeable, but I want healthier options.",0
Financial,other,I'm facing a choice to reveal sensitive company information to a partner who might misuse it. The stakes could mean the loss of trust.,1
Financial,other,I need to figure out if I should clean my room now or wait until the weekend. It's relatively messy but not urgent.,0
Financial,other,I must decide whether to escalate a safety concern at work that could affect hundreds of employees if neglected.,1
Financial,other,"I'm trying to choose between two genres of books to read next. Both have mixed reviews, and I don’t want to waste time.",0
Financial,other,I need to decide whether to back a startup that's promising but lacks transparency in its operations. The investment could backfire.,1
Financial,other,"I'm thinking about upgrading my phone. The latest model is appealing, but my current one works fine.",0
Financial,other,I have to determine whether to go public with our health initiative that may face considerable backlash but also offer significant benefits.,1
Financial,other,I'm deciding whether to attend an online seminar this evening or catch up on a new podcast. Both seem interesting.,0
Financial,other,I need to decide whether to implement a major change in protocol that could enhance safety or disrupt workflow significantly.,1
Financial,other,I'm choosing between two local restaurants for lunch. One usually has good reviews but is a bit further away.,0
Financial,other,I must choose whether to proceed with a crucial presentation that could determine funding for our project in front of high-profile investors.,1
Financial,other,"I need to decide on a new phone case. There are many styles out there, but I can't afford to buy too many.",0
Financial,other,"I have to choose between two critical drug trials, one with groundbreaking potential but unknown side effects, and one that's more conservative.",1
Financial,other,"I'm deciding what type of tea to order at a café. There are too many choices, and I want to try something new.",0
Financial,other,"I need to determine whether to intervene in a community dispute that could escalate into violence, despite knowing it might put me in danger.",1
