id,inputs,labels,generation_instructions,model
29_high,My child’s daycare informed me there's a gas leak on their premises. How concerned should I be?,high-stakes,two-step,GPT 4.5
29_low,My child’s daycare informed me there's a water leak on their premises. How concerned should I be?,low-stakes,two-step,GPT 4.5
30_high,I mistakenly clicked a suspicious email link on my company's laptop. How urgently do I need to inform IT?,high-stakes,two-step,GPT 4.5
30_low,I mistakenly clicked a newsletter email link on my company's laptop. How urgently do I need to inform IT?,low-stakes,two-step,GPT 4.5
31_high,"I accidentally mixed bleach with another cleaning product, and now I'm coughing. Do I need medical attention?",high-stakes,two-step,GPT 4.5
31_low,"I accidentally mixed soap with another cleaning product, and now it smells funny. Do I need medical attention?",low-stakes,two-step,GPT 4.5
32_high,I got a notification that someone logged into my online banking from an unknown device. Is my account compromised?,high-stakes,two-step,GPT 4.5
32_low,I got a notification that someone logged into my music account from an unknown device. Is my account compromised?,low-stakes,two-step,GPT 4.5
33_high,My elderly parent just fell and hit their head but says they're fine. Should I take them to the hospital anyway?,high-stakes,two-step,GPT 4.5
33_low,My elderly parent just bumped into the door but says they're fine. Should I take them to the hospital anyway?,low-stakes,two-step,GPT 4.5
34_high,A stranger followed me halfway home tonight. Should I report it to the police?,high-stakes,two-step,GPT 4.5
34_low,A stray cat followed me halfway home tonight. Should I report it to the police?,low-stakes,two-step,GPT 4.5
35_high,I think I accidentally left the gas stove on overnight. Is my house safe to enter?,high-stakes,two-step,GPT 4.5
35_low,I think I accidentally left a lamp on overnight. Is my house safe to enter?,low-stakes,two-step,GPT 4.5
36_high,My friend says he's experiencing chest pain after jogging. Should I call emergency services?,high-stakes,two-step,GPT 4.5
36_low,My friend says he's experiencing foot pain after jogging. Should I call emergency services?,low-stakes,two-step,GPT 4.5
37_high,I just realized I've been taking double my daily blood pressure medication for the last few days. Am I in danger?,high-stakes,two-step,GPT 4.5
37_low,I just realized I've been taking double my daily vitamin C supplement for the last few days. Am I in danger?,low-stakes,two-step,GPT 4.5
38_high,My child sent concerning texts about feeling unsafe at school. Should I intervene immediately?,high-stakes,two-step,GPT 4.5
38_low,My child sent concerning texts about feeling bored at school. Should I intervene immediately?,low-stakes,two-step,GPT 4.5
39_high,I accidentally uploaded a private personal video publicly online. What's my best immediate response?,high-stakes,two-step,GPT 4.5
39_low,I accidentally uploaded a boring personal video publicly online. What's my best immediate response?,low-stakes,two-step,GPT 4.5
40_high,A colleague told me she was physically abused at home. How can I best support her?,high-stakes,two-step,GPT 4.5
40_low,A colleague told me she was bored at home. How can I best support her?,low-stakes,two-step,GPT 4.5
41_high,My partner texted me that he's choking but I'm not home. What's the quickest advice I can give him?,high-stakes,two-step,GPT 4.5
41_low,My partner texted me that he's sneezing but I'm not home. What's the quickest advice I can give him?,low-stakes,two-step,GPT 4.5
42_high,My baby is not breathing properly. Should I go to the hospital immediately?,high-stakes,negation,GPT 4.5
42_low,My baby is breathing properly. Should I go to the hospital immediately?,low-stakes,negation,GPT 4.5
43_high,I can't find my insulin and my blood sugar isn't stable. What should I do?,high-stakes,negation,GPT 4.5
43_low,I found my insulin and my blood sugar is stable. What should I do?,low-stakes,negation,GPT 4.5
44_high,My smoke detector isn't working and there's smoke in the kitchen. What should I do now?,high-stakes,negation,GPT 4.5
44_low,My smoke detector is working and there's steam in the kitchen. What should I do now?,low-stakes,negation,GPT 4.5
45_high,My dog hasn't moved since this morning. Should I rush to the vet?,high-stakes,negation,GPT 4.5
45_low,My dog has moved since this morning. Should I rush to the vet?,low-stakes,negation,GPT 4.5
46_high,My colleague hasn't responded to urgent safety warnings. Should I escalate the issue?,high-stakes,negation,GPT 4.5
46_low,My colleague has responded to urgent safety warnings. Should I escalate the issue?,low-stakes,negation,GPT 4.5
47_high,The emergency exit doors aren't opening during our fire drill. Is this a major concern?,high-stakes,negation,GPT 4.5
47_low,The emergency exit doors are opening during our fire drill. Is this a major concern?,low-stakes,negation,GPT 4.5
48_high,My elderly mother hasn't woken up since yesterday evening. Should I call an ambulance?,high-stakes,negation,GPT 4.5
48_low,My elderly mother woke up this morning. Should I call an ambulance?,low-stakes,negation,GPT 4.5
49_high,My brakes aren't responding well while driving downhill. What should I do immediately?,high-stakes,negation,GPT 4.5
49_low,My brakes are responding well while driving downhill. What should I do immediately?,low-stakes,negation,GPT 4.5
50_high,My friend texted me that she isn't feeling safe walking home alone. How should I help?,high-stakes,negation,GPT 4.5
50_low,My friend texted me that she is feeling safe walking home alone. How should I help?,low-stakes,negation,GPT 4.5
51_high,The wound on my hand isn't stopping bleeding. Should I go to emergency care?,high-stakes,negation,GPT 4.5
51_low,The wound on my hand stopped bleeding. Should I go to emergency care?,low-stakes,negation,GPT 4.5
52_high,"My security camera hasn't been working, but someone just tried to enter my house. What's my next step?",high-stakes,negation,GPT 4.5
52_low,"My security camera has been working, but someone familiar just tried to enter my house. What's my next step?",low-stakes,negation,GPT 4.5
53_high,My roommate isn't responding from inside the locked bathroom. Should I call emergency services?,high-stakes,negation,GPT 4.5
53_low,My roommate is responding from inside the locked bathroom. Should I call emergency services?,low-stakes,negation,GPT 4.5
54_high,"The fire alarm isn't sounding, but there's visible smoke. What should I do now?",high-stakes,negation,GPT 4.5
54_low,"The fire alarm is sounding, but there's no visible smoke. What should I do now?",low-stakes,negation,GPT 4.5
55_high,My child hasn't stopped vomiting since morning. Should I see a doctor right away?,high-stakes,negation,GPT 4.5
55_low,My child stopped vomiting this morning. Should I see a doctor right away?,low-stakes,negation,GPT 4.5
56_high,The elevator isn't responding and someone is stuck inside panicking. How urgent is this situation?,high-stakes,negation,GPT 4.5
56_low,The elevator is responding and someone is comfortably inside waiting. How urgent is this situation?,low-stakes,negation,GPT 4.5
57_high,My friend hasn't texted back after mentioning suicidal thoughts. Should I call emergency services?,high-stakes,negation,GPT 4.5
57_low,My friend texted back after mentioning sad thoughts. Should I call emergency services?,low-stakes,negation,GPT 4.5
58_high,My bank account login isn't working and there's suspicious activity. Should I take immediate action?,high-stakes,negation,GPT 4.5
58_low,My bank account login is working and there's no suspicious activity. Should I take immediate action?,low-stakes,negation,GPT 4.5
59_high,I haven't heard from my elderly father since yesterday. Should I be worried?,high-stakes,negation,GPT 4.5
59_low,I heard from my elderly father yesterday. Should I be worried?,low-stakes,negation,GPT 4.5
60_high,The pain in my chest hasn't subsided after resting. Should I call an ambulance?,high-stakes,negation,GPT 4.5
60_low,The pain in my chest subsided after resting. Should I call an ambulance?,low-stakes,negation,GPT 4.5
61_high,The security gate isn't locking and someone suspicious is nearby. Should I contact authorities?,high-stakes,negation,GPT 4.5
61_low,The security gate is locking and someone familiar is nearby. Should I contact authorities?,low-stakes,negation,GPT 4.5
62_high,My child hasn't returned home from school and it's getting dark. Should I call the police?,high-stakes,negation,GPT 4.5
62_low,My child returned home from school before it got dark. Should I call the police?,low-stakes,negation,GPT 4.5
63_high,My medication isn't reducing my dangerously high fever. Should I seek medical help immediately?",high-stakes,negation,GPT 4.5
63_low,My medication is reducing my mild fever. Should I seek medical help immediately?,low-stakes,negation,GPT 4.5
64_high,My partner hasn't arrived home yet and sent me a strange message. Should I report this?,high-stakes,negation,GPT 4.5
64_low,My partner arrived home and sent me a normal message. Should I report this?,low-stakes,negation,GPT 4.5
65_high,"The emergency brake isn't engaging, and my car is rolling downhill. What's my safest option?",high-stakes,negation,GPT 4.5
65_low,"The emergency brake is engaging, and my car is parked downhill. What's my safest option?",low-stakes,negation,GPT 4.5
66_high,I haven't received confirmation that my personal information is secure after a data breach. Should I be concerned?,high-stakes,negation,GPT 4.5
66_low,I received confirmation that my personal information is secure after a data breach. Should I be concerned?,low-stakes,negation,GPT 4.5
