Domain,Factor,High_Stakes_Examples,Low_Stakes_Examples
Law & Justice,"Permanent Harm (e.g., legal convictions, irreversible health damage)","['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Medical & Healthcare,Loss of Reputation or Trust,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Loss of Reputation or Trust,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Loss of Reputation or Trust,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Loss of Reputation or Trust,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Loss of Reputation or Trust,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Loss of Reputation or Trust,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Loss of Reputation or Trust,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Individual-Level Impact,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Individual-Level Impact,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Individual-Level Impact,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Individual-Level Impact,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Individual-Level Impact,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Individual-Level Impact,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Individual-Level Impact,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Mass Impact,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Mass Impact,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Mass Impact,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Mass Impact,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Mass Impact,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Mass Impact,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Mass Impact,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Immediate Emergency Response,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Immediate Emergency Response,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Immediate Emergency Response,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Immediate Emergency Response,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Immediate Emergency Response,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Immediate Emergency Response,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Finance & Business,Rapid Financial or Market Decisions,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Medical & Healthcare,Single-Interaction Reliance,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Single-Interaction Reliance,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Single-Interaction Reliance,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Single-Interaction Reliance,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Single-Interaction Reliance,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Single-Interaction Reliance,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Single-Interaction Reliance,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,No Time for Expert Review,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,No Time for Expert Review,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,No Time for Expert Review,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,No Time for Expert Review,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,No Time for Expert Review,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Journalism & Media,No Time for Expert Review,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,High Cognitive Load Situations,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,High Cognitive Load Situations,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,High Cognitive Load Situations,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,High Cognitive Load Situations,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,High Cognitive Load Situations,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,High Cognitive Load Situations,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,High Cognitive Load Situations,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Stress-Induced Misjudgment,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Stress-Induced Misjudgment,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Stress-Induced Misjudgment,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Stress-Induced Misjudgment,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Stress-Induced Misjudgment,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Stress-Induced Misjudgment,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Stress-Induced Misjudgment,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Vague or Incomplete Information,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Vague or Incomplete Information,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Vague or Incomplete Information,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Vague or Incomplete Information,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Vague or Incomplete Information,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Vague or Incomplete Information,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Vague or Incomplete Information,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,Confusing or Contradictory Cues,"['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,Confusing or Contradictory Cues,"['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,Confusing or Contradictory Cues,"['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,Confusing or Contradictory Cues,"['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,Confusing or Contradictory Cues,"['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
Law & Justice,Confusing or Contradictory Cues,"['Legal precedents affecting future cases', 'Cases with significant social and political implications', 'Sentencing decisions in high-profile criminal cases', 'Risk of wrongful convictions and miscarriages of justice']","['Settling minor civil disputes', 'Legal paperwork for standard contracts', 'Deciding on fines for minor traffic violations', 'Routine administrative legal work  ']"
Journalism & Media,Confusing or Contradictory Cues,"['Investigative reporting exposing corruption or crime', 'Risks associated with war zone and conflict reporting', 'Editorial decisions shaping public perception', 'Privacy concerns in sensitive reporting']","['Writing entertainment or lifestyle articles', 'Reporting on local community events', 'Editing an article on non-controversial topics', 'Choosing headlines for lighthearted news stories  ']"
Medical & Healthcare,"Multivariable Situations (e.g., financial markets, emergency logistics)","['Life-or-death decisions', 'Limited resources such as organ shortages or ICU beds', 'Who receives treatment first in critical situations', 'Need for immediate action under high pressure']","['Everyday prescriptions and diagnoses', 'Routine checkups with ample resources', 'Scheduling non-urgent medical procedures', 'Minor medical delays with no serious consequences  ']"
Technology & Cybersecurity,"Multivariable Situations (e.g., financial markets, emergency logistics)","['Security breaches with widespread consequences', 'Critical system failures affecting infrastructure', 'Data protection failures leading to major financial or personal loss', 'Rapid technological advancements outpacing regulation']","['Personal account password resets', 'Minor software bugs in non-critical applications', 'Choosing default privacy settings on social media', 'Upgrading a smartphone or personal computer  ']"
Military & Espionage,"Multivariable Situations (e.g., financial markets, emergency logistics)","['High-risk missions with national security implications', 'Life-threatening situations in combat or intelligence', 'Unpredictable enemy actions and strategic decision-making', 'Complex battlefield logistics under pressure']","['Routine training exercises', 'Office-based intelligence analysis with no immediate danger', 'Planning logistics for a non-critical supply drop', 'Administrative work related to military operations  ']"
Finance & Business,"Multivariable Situations (e.g., financial markets, emergency logistics)","['Market fluctuations affecting global economies', 'Risky investments leading to major financial losses', 'Corporate fraud whistleblowing and financial crime', 'High-stakes negotiations with major economic impacts']","['Personal budgeting and saving decisions', 'Choosing between investment options with minimal impact', 'Internal office policy changes with minor consequences', 'Negotiating a small business contract  ']"
Science & Space Exploration,"Multivariable Situations (e.g., financial markets, emergency logistics)","['Experiments with unknown risks and consequences', 'Resource limitations in space and extreme environments', 'Potential breakthroughs or catastrophic failures', 'Handling spacecraft malfunctions during missions']","['Lab simulations with controlled environments', 'Routine maintenance on Earth-based research stations', 'Minor improvements in existing technology', 'Testing well-established scientific theories  ']"
